spot,Flags,Column,Row,Name,ID,RefNumber,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,c253295110054_ar2_jul1112_C_C
1,0,75,6,75858820,CUST_3_PI426266566,3524,-1,3,-1,-3,-1,-1,0,2,-1
2,0,35,20,75858820,CUST_2_PI426266566,10077,6,16,4,-1,2,2,1,2,-1
3,0,15,34,75858820,CUST_2_PI426266566,13350,4,9,0,2,1,2,2,2,1
4,0,95,64,75858820,CUST_3_PI426266566,215,2,3,0,3,0,2,-1,1,0
5,0,79,129,75858820,CUST_3_PI426266566,2888,0,2,1,0,-1,4,1,-1,1
6,0,53,135,75858820,CUST_1_PI426266566,7149,2,2,0,-2,0,1,3,-1,-6
7,0,10,140,75858820,CUST_1_PI426266566,14117,2,6,0,1,-1,-1,1,0,0
8,0,5,157,75858820,CUST_1_PI426266566,15010,0,12,-1,-1,0,3,0,-1,-3
9,0,81,157,75858820,CUST_2_PI426266566,2546,1,12,1,1,2,5,2,2,1
10,0,16,22,75858822,CUST_4_PI426266566,13192,68,154,55,37,33,118,20,47,4
11,0,3,42,75858822,CUST_4_PI426266566,15314,71,173,63,46,30,126,24,64,1
12,0,88,71,75858822,CUST_6_PI426266566,1441,14,33,10,10,7,27,3,6,0
13,0,63,84,75858822,CUST_6_PI426266566,5453,15,40,7,4,10,32,3,8,1
14,0,70,94,75858822,CUST_6_PI426266566,4300,20,42,15,10,0,29,3,6,1
15,0,91,120,75858822,CUST_5_PI426266566,843,29,38,20,7,14,47,10,23,1
16,0,15,122,75858822,CUST_4_PI426266566,13306,59,166,59,43,31,123,25,60,1
17,0,36,142,75858822,CUST_5_PI426266566,9852,23,54,16,12,4,51,6,20,0
18,0,33,158,75858822,CUST_5_PI426266566,10336,27,68,19,5,12,43,4,15,1
19,0,8,58,75858824,CUST_8_PI426266566,14486,1,4,0,0,2,1,1,0,0
20,0,72,63,75858824,CUST_9_PI426266566,4069,1,2,-1,0,-1,0,1,0,2
21,0,31,88,75858824,CUST_7_PI426266566,10699,1,0,0,-1,-3,0,1,1,0
22,0,8,90,75858824,CUST_9_PI426266566,14470,2,1,0,2,0,2,-4,1,1
23,0,4,94,75858824,CUST_8_PI426266566,15124,2,-2,1,0,-1,1,-1,-1,0
24,0,36,137,75858824,CUST_7_PI426266566,9936,-2,2,2,0,-1,0,0,1,-2
25,0,76,138,75858824,CUST_8_PI426266566,3294,-2,2,-2,0,1,-1,0,0,-1
26,0,83,143,75858824,CUST_7_PI426266566,2225,1,6,-1,0,1,1,0,0,0
27,0,46,155,75858824,CUST_9_PI426266566,8287,1,1,-6,0,-1,0,1,0,1
28,0,92,5,75858826,CUST_10_PI426266566,818,0,6,0,0,2,1,4,1,2
29,0,32,13,75858826,CUST_10_PI426266566,10654,1,0,1,2,-2,3,1,0,-1
30,0,70,47,75858826,CUST_11_PI426266566,4405,2,3,1,0,1,1,-1,-1,-1
31,0,17,101,75858826,CUST_10_PI426266566,13070,1,3,1,-2,1,4,0,3,1
32,0,6,116,75858826,CUST_11_PI426266566,14785,1,2,0,-1,2,1,2,0,2
33,0,56,147,75858826,CUST_11_PI426266566,6651,1,-13,-1,1,0,5,1,0,2
34,0,39,148,75858826,CUST_12_PI426266566,9357,-3,-9,1,1,0,1,2,1,0
35,0,51,158,75858826,CUST_12_PI426266566,7384,0,1,-2,1,0,-2,0,1,0
36,0,31,163,75858826,CUST_12_PI426266566,10743,1,8,1,2,0,1,0,0,-1
37,0,43,4,169635058,CUST_13_PI426266566,8773,8,5,2,3,-1,15,1,4,0
38,0,43,5,169635058,CUST_15_PI426266566,8854,3,-4,2,2,0,3,0,1,1
39,0,72,9,169635058,CUST_13_PI426266566,4096,4,14,9,12,2,15,1,13,1
40,0,19,38,169635058,CUST_13_PI426266566,12692,0,7,2,1,-2,4,-1,0,-1
41,0,52,50,169635058,CUST_14_PI426266566,7274,1,2,1,2,1,11,-3,1,1
42,0,23,100,169635058,CUST_15_PI426266566,12005,4,9,-1,1,2,2,2,0,-1
43,0,4,129,169635058,CUST_15_PI426266566,15188,3,10,0,-2,0,4,0,2,-1
44,0,63,130,169635058,CUST_14_PI426266566,5430,1,6,-9,-3,0,5,0,-1,0
45,0,75,157,169635058,CUST_14_PI426266566,3530,2,6,2,-1,0,5,-3,2,2
46,0,54,16,222548585,CUST_2_PI426265153,6963,2,0,0,0,1,0,1,0,-2
47,0,9,55,222548585,CUST_3_PI426265153,14405,0,5,0,-1,0,-7,-1,1,1
48,0,77,60,222548585,CUST_3_PI426265153,3169,2,2,-1,0,-4,1,0,0,0
49,0,26,64,222548585,CUST_1_PI426265153,11531,-3,0,1,0,0,1,0,0,-1
50,0,74,73,222548585,CUST_2_PI426265153,3736,0,4,1,1,-1,1,-2,-2,1
51,0,84,77,222548585,CUST_1_PI426265153,2094,-5,0,-1,0,1,0,-1,-1,-1
52,0,52,86,222548585,CUST_1_PI426265153,7256,7,1,0,-4,1,2,0,3,0
53,0,45,102,222548585,CUST_2_PI426265153,8396,2,-1,-1,0,-2,-1,1,-2,3
54,0,54,127,222548585,CUST_3_PI426265153,6989,0,3,1,1,-1,0,-2,-2,0
55,0,23,6,222550494,CUST_2_PI426266314,12052,-1,-3,0,1,2,0,2,0,0
56,0,62,10,222550494,CUST_3_PI426266314,5654,1,1,0,-1,0,2,-1,0,0
57,0,8,23,222550494,CUST_2_PI426266314,14585,2,2,1,-2,0,1,-1,0,1
58,0,55,29,222550494,CUST_1_PI426266314,6874,2,2,-1,-3,0,1,1,-9,0
59,0,63,45,222550494,CUST_2_PI426266314,5554,3,1,1,0,-2,1,2,0,1
60,0,63,58,222550494,CUST_3_PI426266314,5466,0,1,0,-1,1,2,0,-2,-2
61,0,66,103,222550494,CUST_1_PI426266314,5033,0,-1,1,-2,1,1,1,3,2
62,0,25,107,222550494,CUST_3_PI426266314,11755,1,-4,-1,0,2,0,1,1,-2
63,0,28,143,222550494,CUST_1_PI426266314,11245,-1,2,-3,-1,1,2,1,1,-3
64,0,5,11,222781632,CUST_1_PI426265165,15083,5,6,0,0,-1,1,-1,1,0
65,0,39,20,222781632,CUST_2_PI426265165,9421,2,0,3,-2,1,-2,-1,0,-8
66,0,95,44,222781632,CUST_2_PI426265165,225,1,6,0,1,1,0,1,0,-1
