"","Transcript.family","p.diff.expr","PostFC","RealFC","annotation","sequence.name","unique.ID","ortholog","homology.score","homolog","family.orthology","family.homology","additional.information"
"1","tr100018",0.999872560949862,17.7020900404503,2431.79882332985,NA,"salinity.id30825.tr100018","id30825","",NA,"","","","1_of_1_in_tr100018 len=229 id=30825 tr=100018"
"2","tr10004",0.999514844077344,2.82663818708051,2.82852899780768,NA,"salinity.id48823.tr10004","id48823","",16,"extracted_CDS GOMatch=A7RPB5 GOTerms=GO:0055085 Gene=Solute_carrier_16_A_2_ Match_Acc=Q3ZLS0 gene=isogroup00819 length=736 numContigs=2","","","5_of_5_in_tr10004 len=395 id=48823 tr=10004"
"3","tr10004",0.999514844077344,2.82663818708051,2.82852899780768,NA,"salinity.id48812.tr10004","id48812","extracted_CDS GOMatch=A7RL09 GOTerms=GO:0055085 Gene=Monocarboxylate_transporter_ Match_Acc=B0WRR6 gene=isogroup14107 length=453 numContigs=1",NA,"","","","1_of_5_in_tr10004 len=1137 id=48812 tr=10004"
"4","tr10004",0.999514844077344,2.82663818708051,2.82852899780768,NA,"salinity.id48818.tr10004","id48818","",10,"extracted_CDS GOMatch=A7RL09 GOTerms=GO:0055085 Gene=Monocarboxylate_transporter_ Match_Acc=B0WRR6 gene=isogroup14107 length=453 numContigs=1","","","3_of_5_in_tr10004 len=1920 id=48818 tr=10004"
"5","tr10004",0.999514844077344,2.82663818708051,2.82852899780768,NA,"salinity.id48822.tr10004","id48822","extracted_CDS GOMatch=A7RL09 GOTerms=GO:0055085 Gene=Monocarboxylate_transporter_ Match_Acc=B0WRR6 gene=isogroup14107 length=453 numContigs=1",NA,"","","","4_of_5_in_tr10004 len=1375 id=48822 tr=10004"
"6","tr10004",0.999514844077344,2.82663818708051,2.82852899780768,NA,"salinity.id48817.tr10004","id48817","extracted_CDS GOMatch=A7RL09 GOTerms=GO:0055085 Gene=Monocarboxylate_transporter_ Match_Acc=B0WRR6 gene=isogroup14107 length=453 numContigs=1",NA,"","","","2_of_5_in_tr10004 len=1682 id=48817 tr=10004"
"7","tr100061",0.999981566100357,4.35611911899714,4.56110258372694,NA,"salinity.id14801.tr100061","id14801","",NA,"","","","1_of_1_in_tr100061 len=431 id=14801 tr=100061"
"8","tr100063",0.999999844701472,27.7233440647205,3890.27811732776,NA,"salinity.id49704.tr100063","id49704","",NA,"","","","1_of_1_in_tr100063 len=276 id=49704 tr=100063"
"9","tr10009",0.999999639715888,26.3871768614845,3695.81421146137,NA,"salinity.id615.tr10009","id615","",NA,"","","","1_of_1_in_tr10009 len=250 id=615 tr=10009"
"10","tr100125",0.973816885695456,0.352041307242879,0.336609506751457,NA,"salinity.id20768.tr100125","id20768","",NA,"","","","1_of_1_in_tr100125 len=249 id=20768 tr=100125"
