ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
CUST_3_PI426246029	222551517_EZ007430.1_55-258												
CUST_284_PI426227486	222784943_EZ013577.1_4-1195												
CUST_52_PI426264530	222784674_EZ013314.1_27-568												
CUST_59_PI426266615	Ac_20_201_235												
CUST_61_PI426266615	Ac_22_152_186												
CUST_369_PI426227486	222788148_EZ016620.1_11-520												
CUST_114_PI426232937	AY149130.1												
CUST_1012_PI426227498	222787221_EZ015693.1_1178-1282												
CUST_14_PI426232937	281331149_AB456561.1_1-1074												
CUST_135_PI426266615	AJ884906_137_171												
CUST_611_PI426227498	222783048_EZ011717.1_15-692												
CUST_31_PI426266278	222785037_EZ013671.1_204-893												
CUST_16_PI426267032	133856047_EF133956.1_101-712												
CUST_3_PI426266317	222550995_EZ006908.1_75-230												
CUST_2_PI426266308	222545292_EZ001482.1_1769-1990												
CUST_131_PI426226825	222791358_EZ019746.1_221-1492												
CUST_9_PI426247727	222785876_EZ014358.1_50-232												
CUST_205_PI426227486	222783279_EZ011946.1_90-417												
CUST_435_PI426227486	222795283_EZ023671.1_57-1194												
CUST_545_PI426227498	222782460_EZ011131.1_53-223												
CUST_141_PI426264540	222788014_EZ016486.1_408-515												
CUST_111_PI426226915	222782617_EZ011288.1_4-423												
CUST_172_PI426265159	222796763_EZ025151.1_70-756												
CUST_21_PI426265159	222549613_EZ005526.1_96-233												
CUST_34_PI426227881	222783125_EZ011794.1_298-663												
CUST_116_PI426266615	AF285166_2534_2568												
CUST_26_PI426266278	222784688_EZ013328.1_98-1026												
CUST_377_PI426266615	SedC(C9)_2_23_57												
CUST_19_PI426246032	222545243_EZ001433.1_353-823												
CUST_223_PI426266615	DQ309550_189_223												
CUST_144_PI426226825	222785153_EZ013787.1_119-283												
CUST_3_PI426266278	222549947_EZ005860.1_68-238												
CUST_966_PI426227498	222785811_EZ014293.1_64-1033												
CUST_13_PI426265162	222780432_EZ009103.1_663-782												
CUST_39_PI426244603	32188165_AY181552.1_686-910												
CUST_94_PI426266615	Ac_7_141_175												
CUST_171_PI426227486	222782717_EZ011388.1_20-424												
CUST_123_PI426265159	222793564_EZ021952.1_15-143												
CUST_31_PI426227881	222783125_EZ011794.1_117-663												
CUST_117_PI426265159	222792443_EZ020831.1_382-624												
CUST_781_PI426227498	222784566_EZ013212.1_518-643												
CUST_19_PI426267032	133856037_EF133951.1_101-712												
CUST_11_PI426266366	222784189_EZ012847.1_297-455												
CUST_31_PI426232937	AJ884897.1												
CUST_165_PI426266615	AY841903_1259_1294												
CUST_191_PI426227498	222547236_EZ003149.1_82-252												
CUST_44_PI426226915	222545154_EZ001344.1_1846-2958												
CUST_4_PI426227881	157154649_EU022122.1_82-540												
CUST_1339_PI426227498	222800230_EZ028618.1_102-596												
CUST_35_PI426266278	222785819_EZ014301.1_40-1167												
CUST_1240_PI426227498	222796683_EZ025071.1_37-213												
CUST_202_PI426227893	222799841_EZ028229.1_704-841												
CUST_115_PI426266615	AF285166_2534_2568												
CUST_126_PI426227893	222784675_EZ013315.1_745-924												
CUST_627_PI426227498	222783088_EZ011757.1_112-852												
CUST_111_PI426266271	222784918_EZ013552.1_1171-1317												
CUST_800_PI426227498	222784754_EZ013390.1_104-352												
CUST_118_PI426266271	222784918_EZ013552.1_398-775												
CUST_135_PI426226915	222790911_EZ019299.1_52-216												
CUST_24_PI426232937	AF425735.1												
CUST_291_PI426227486	222784978_EZ013612.1_57-598												
CUST_251_PI426227498	222550018_EZ005931.1_99-218												
CUST_309_PI426266615	MGID_307_245_279												
CUST_12_PI426244589	222546129_EZ002319.1_1845-2030												
CUST_528_PI426227498	222782300_EZ010971.1_77-562												
CUST_29_PI426264527	222800437_EZ028825.1_3-341												
CUST_28_PI426264530	222815137_EZ043524.1_39-401												
CUST_122_PI426266615	AF323688_1006_1041												
CUST_1259_PI426227498	222797001_EZ025389.1_128-724												
CUST_1_PI426266308	222545292_EZ001482.1_1769-1990												
CUST_23_PI426247733	222792994_EZ021382.1_43-609												
CUST_192_PI426264540	222788984_EZ017416.1_118-997												
CUST_64_PI426227893	222782322_EZ010993.1_459-935												
CUST_20_PI426245463	222798880_EZ027268.1_25-1626												
CUST_17_PI426264527	222792000_EZ020388.1_1-108												
CUST_8_PI426244597	222785349_EZ013983.1_4-426												
CUST_980_PI426227498	222786084_EZ014556.1_24-1498												
CUST_433_PI426227486	222795283_EZ023671.1_57-1194												
CUST_44_PI426244603	15081471_AF401282.1_84-767												
CUST_21_PI426226915	163638893_EU303090.1_7-279												
CUST_161_PI426266274	222801296_EZ029684.1_74-1424												
CUST_172_PI426226825	222783581_EZ012244.1_373-945												
CUST_857_PI426227498	222785152_EZ013786.1_87-1367												
CUST_102_PI426266317	222785658_EZ014170.1_12-116												
CUST_18_PI426226978	222550908_EZ006821.1_19-132												
CUST_10_PI426245463	222795287_EZ023675.1_16-846												
CUST_457_PI426227498	222781404_EZ010075.1_901-1095												
CUST_33_PI426244603	16660127_AF383156.1_83-748												
CUST_97_PI426266349	222783542_EZ012205.1_110-802												
CUST_97_PI426264540	222799525_EZ027913.1_62-976												
CUST_87_PI426227495	222798891_EZ027279.1_34-597												
CUST_87_PI426226915	222551404_EZ007317.1_27-164												
CUST_27_PI426247733	222792994_EZ021382.1_1068-1187												
CUST_281_PI426266615	MGID_19_133_167												
CUST_600_PI426227498	222782902_EZ011573.1_154-426												
CUST_105_PI426266349	222785173_EZ013807.1_59-895												
CUST_34_PI426266363	222784240_EZ012898.1_1318-1431												
CUST_6_PI426265159	222544711_EZ000901.1_776-946												
CUST_17_PI426232934	168989234_DQ482995.1_304-477												
CUST_114_PI426266424	222794837_EZ023225.1_1398-1727												
CUST_116_PI426226868	222782207_EZ010878.1_14-1026												
CUST_1405_PI426227498	222801268_EZ029656.1_803-946												
CUST_92_PI426266349	222783028_EZ011697.1_134-829												
CUST_44_PI426266615	Ac_16_101_135												
CUST_197_PI426264540	222799525_EZ027913.1_62-1520												
CUST_11_PI426266566	75858826												
CUST_24_PI426226825	222782249_EZ010920.1_66-410												
CUST_9_PI426264530	222784674_EZ013314.1_79-375												
CUST_294_PI426232940	288950315_GQ501386.1_13-474												
CUST_145_PI426226825	222783869_EZ012529.1_2-565												
CUST_165_PI426226825	222784615_EZ013259.1_218-550												
CUST_291_PI426232940	288950314_GQ501385.1_13-465												
CUST_67_PI426266317	222782137_EZ010808.1_16-1155												
CUST_16_PI426266615	AB117374_173_207												
CUST_273_PI426227486	222784286_EZ012944.1_76-267												
CUST_212_PI426226825	222784955_EZ013589.1_166-1471												
CUST_60_PI426227486	222548934_EZ004847.1_96-251												
CUST_14_PI426244603	154814309_EU035527.1_1-678												
CUST_29_PI426232931	303306195_HM147134.1_1689-1991												
CUST_12_PI426227896	222546398_EZ002588.1_593-805												
CUST_27_PI426266274	222548755_EZ004668.1_80-223												
CUST_31_PI426266363	222784240_EZ012898.1_1111-1290												
CUST_94_PI426265159	222786883_EZ015355.1_34-1182												
CUST_60_PI426266360	222800253_EZ028641.1_1317-1481												
CUST_15_PI426245463	222798880_EZ027268.1_1152-1319												
CUST_49_PI426244603	21303775_AY037766.1_181-855												
CUST_27_PI426266278	222784688_EZ013328.1_98-1026												
CUST_260_PI426227498	222550033_EZ005946.1_105-269												
CUST_105_PI426266615	AF007889_115_150												
CUST_255_PI426232940	288950302_GQ501373.1_22-492												
CUST_1386_PI426227498	222801142_EZ029530.1_6-756												
CUST_44_PI426266363	222784911_EZ013545.1_106-240												
