"","Column","Row","RefNumber","Name.Append","Name","ID","ControlType","TopHit","Correct.Accession.number","Accession","Probe","blast2go.Seq.Description","NCBI.Accession.name","Gene","Gene.Code","Probe.Group","Modified.Probe.Group","Function","FC","Species.Detail","Species.Group","X","X.1","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CUST_1216_PI426227498",67,158,4760,"222796110_EZ024498.1","222796110_EZ024498.1_387-491","CUST_1216_PI426227498","FALSE","gi|222796110_EZ024498.1_387-491","EZ024498.1","EZ024498.1","EZ024498","ras-related protein rab-10","Ras-related protein Rab-10","Ras-related protein Rab-10","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,-0.0443952023538535,0.502824717645319,-0.091749396321561,0.929244709097831,1,-5.89967406569076
"CUST_182_PI426227486",86,105,1752,"222782832_EZ011503.1","222782832_EZ011503.1_22-552","CUST_182_PI426227486","FALSE","gi|222782832_EZ011503.1_22-552","EZ011503.1","EZ011503.1","EZ011503","tp53rk-binding protein","TP53RK-binding protein (Tprkb","TP53RK-binding protein (Tprkb","","misc","(revisit)","misc (fix)","misc","Acropora millepora","coral",NA,NA,0.0452715932063569,0.362644472108271,0.0913663275549803,0.929539194819072,1,-5.89971077007289
"CUST_297_PI426232937",87,44,1537,"FN646420.1","FN646420.1","CUST_297_PI426232937","FALSE","emb|FN646420.1|gi|306430554","FN646420.1","FN646420.1","FN646420","","light-harvesting protein","light-harvesting protein","","photosynthesis","response to light","photosynthesis","ZOOX - photosynthesis","Symbiodinium sp. clade C","zooxanthellae",NA,NA,-0.0451175353584795,0.71618958996739,-0.0895025019211055,0.930972183750093,1,-5.8998871693844
"CUST_49_PI426266311",26,93,11598,"222784780_EZ013416.1","222784780_EZ013416.1_617-733","CUST_49_PI426266311","FALSE","gi|222784780_EZ013416.1_617-733","EZ013416.1","EZ013416.1","EZ013416","usick-kaufman syndrome","McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin (MKKS)","McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin (MKKS)","","photoreceptor","proteing binding_sensory transduction","molecular chaperone","MF","Acropora millepora","coral",NA,NA,-0.0353400752014348,0.397559630236472,-0.0888651570377761,0.93146226398861,1,-5.89994665776597
"CUST_137_PI426232940",34,72,10215,"160430743_EU130573.1","160430743_EU130573.1_151-1338","CUST_137_PI426232940","FALSE","gi|160430743_EU130573.1_151-1338","EU130573.1","EU130573.1","EU130573","cytochrome oxidase subunit I (cox1)","cytochrome oxidase subunit I (cox1)","cytochrome oxidase subunit I (cox1)","","cell respiration","ETC","cellular respiration","NCF","Symbiodinium microadriaticum","zooxanthellae",NA,NA,0.022222815417603,9.96003490599068,0.087997385169346,0.932129579189112,1,-5.90002697173044
"CUST_5_PI426245463",64,80,5291,"209867521_EU785982.1","209867521_EU785982.1_1-1134","CUST_5_PI426245463","FALSE","gi|209867521_EU785982.1_1-1134","EU785982.1","EU785982.1","EU785982","bone morphogenetic protein 2","bone morphogenetic protein","bone morphogenetic protein","","calcification","calcium ion binding","proteolysis","MF","Acropora sp.","coral",NA,NA,-0.0443952023538535,0.618199666478745,-0.0876533079756002,0.932394189970153,1,-5.90005859901252
"CUST_217_PI426266615",38,31,9661,"DQ309544_111_145","DQ309544_111_145","CUST_217_PI426266615","FALSE","","DQ309544","DQ309544.1","DQ309544","","calcium/calmodulin-dependent protein kinase IV-like","calcium/calmodulin-dependent protein kinase IV-like (CAMK4)","","transcription regulation","(revisit)","transcription","NCF","Anthopleura elegantissima","anemone",NA,NA,0.0452715932063568,0.377564973834387,0.0875733421821536,0.932455688540501,1,-5.90006593169335
"CUST_1_PI426265162",96,107,111,"222544499_EZ000689.1","222544499_EZ000689.1_53-478","CUST_1_PI426265162","FALSE","gi|222544499_EZ000689.1_53-478","EZ000689.1","EZ000689.1","EZ000689","2-oxoglutarate and iron-dependent oxygenase domain containing 1","2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1 (ogfod1)","2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1 (ogfod1)","","metal ion homeostasis","(revisit)","metal ion binding","MF","Acropora millepora","coral",NA,NA,-0.0521852800963064,0.627138884641281,-0.0871825740096413,0.932756220074397,1,-5.90010166818695
"CUST_24_PI426247730",60,97,6020,"222801625_EZ030013.1","222801625_EZ030013.1_64-285","CUST_24_PI426247730","FALSE","gi|222801625_EZ030013.1_64-285","EZ030013.1","EZ030013.1","EZ030013","fructose -bisphosphate aldolase","Fructose-bisphosphate aldolase C (aldoc)","Fructose-bisphosphate aldolase C (aldoc)","","glycolysis","(revisit)","metabolism","NCF","Acropora millepora","coral",NA,NA,0.0528339915937929,0.860722507620962,0.0864653411678681,0.933307858722866,1,-5.9001668454999
"CUST_46_PI426226915",80,84,2665,"222545162_EZ001352.1","222545162_EZ001352.1_418-1047","CUST_46_PI426226915","FALSE","gi|222545162_EZ001352.1_418-1047","EZ001352.1","EZ001352.1","EZ001352","kinesin family member 13b","Kinesin-like protein KIF13B (KIF13B)","Kinesin-like protein KIF13B (KIF13B)","","cytoskeletal","cilium_flagella transport","cytoskeletal organization","MF","Acropora millepora","coral",NA,NA,0.0328861714908691,0.406314075970933,0.0862639994099138,0.933462721800694,1,-5.90018504550503
"CUST_177_PI426264540",87,136,1491,"222783868_EZ012528.1","222783868_EZ012528.1_17-539","CUST_177_PI426264540","FALSE","gi|222783868_EZ012528.1_17-539","EZ012528.1","EZ012528.1","EZ012528","zinc fyve domain containing 21","Zinc finger FYVE domain-containing protein 21 (ZFYVE21","Zinc finger FYVE domain-containing protein 21 (ZFYVE21","","cell adhesion","metal ion binding","cell motility","MF","Acropora millepora","coral",NA,NA,0.035494133049312,0.34649035567286,0.0862526728364627,0.933471433784855,1,-5.90018606809675
"CUST_147_PI426226915",69,19,4583,"222798675_EZ027063.1","222798675_EZ027063.1_2-205","CUST_147_PI426226915","FALSE","gi|222798675_EZ027063.1_2-205","EZ027063.1","EZ027063.1","EZ027063","fibrillin partial","Fibrillin-2 (FBN2)","Fibrillin-2 (FBN2)","","cytoskeletal","calcium binding_calcification","cytoskeletal organization","MF","Acropora millepora","coral",NA,NA,-0.0416772425768206,0.46734434682097,-0.0861980748066093,0.933513428718274,1,-5.90019099546533
"CUST_196_PI426226825",51,77,7506,"222783869_EZ012529.1","222783869_EZ012529.1_2-617","CUST_196_PI426226825","FALSE","gi|222783869_EZ012529.1_2-617","EZ012529.1","EZ012529.1","EZ012529","selenoprotein s","Selenoprotein S (SELS)","Selenoprotein S (SELS)","","apoptosis","inflammation_apoptosis_redox","oxidative stress","SR","Acropora millepora","coral",NA,NA,0.035494133049312,0.359460277525324,0.0860550440832273,0.933623444106535,1,-5.90020388895446
"CUST_15_PI426266278",95,33,312,"222783434_EZ012097.1","222783434_EZ012097.1_86-196","CUST_15_PI426266278","FALSE","gi|222783434_EZ012097.1_86-196","EZ012097.1","EZ012097.1","EZ012097","peroxisome biogenesis factor 13","Peroxisomal membrane protein PEX13 (PEX13)","Peroxisomal membrane protein PEX13 (PEX13)","","peroxisomal","protein binding_peroxisome biogenesis","transport","MF","Acropora millepora","coral",NA,NA,-0.0477951736708687,0.666037621068948,-0.0852110352456147,0.934272664067479,1,-5.90027953696422
"CUST_324_PI426266615",33,106,10362,"MGID_47_139_173","MGID_47_139_173","CUST_324_PI426266615","FALSE","","MGID_47","EF134003.1","MGID_47","","Ferredoxin","Ferredoxin","","photosynthesis","sensory transduction_electron transport","response to light","ZOOX - photosynthesis","Alexandrium fundyense","dinoflagellate",NA,NA,0.0459264118973657,1.19745965771018,0.0851813846948671,0.934295472526554,1,-5.90028218099633
"CUST_1132_PI426227498",34,5,10330,"222791089_EZ019477.1","222791089_EZ019477.1_30-581","CUST_1132_PI426227498","FALSE","gi|222791089_EZ019477.1_30-581","EZ019477.1","EZ019477.1","EZ019477","hormonally up-regulated neu tumor-associated kinase","Hormonally up-regulated neu tumor-associated kinase (HUNK)","Hormonally up-regulated neu tumor-associated kinase (HUNK)","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,-0.0564196213434482,0.477715828820549,-0.0845394561834754,0.934789287027667,1,-5.90033919860326
"CUST_7_PI426232934",82,133,2394,"62767032_AY916504.1","62767032_AY916504.1_103-261","CUST_7_PI426232934","FALSE","gi|62767032_AY916504.1_103-261","AY916504.1","AY916504.1","AY916504","","superoxide dismutase","superoxide dismutase","","reactive O2 species metabolism","(revisit)","oxidative stress","SR","Symbiodinium sp.","zooxanthellae",NA,NA,-0.034586458273237,0.325123661320953,-0.0841233621589231,0.935109390660599,1,-5.90037592712139
