Column	Row	Name	ID	RefNumber	ControlType	GeneName	TopHit	Description	Go	ChromosomalLocation	EntrezGeneID
1	1	GE_BrightCorner	GE_BrightCorner	15744	pos	GE_BrightCorner		Unknown		Unknown	
2	1	GE_BrightCorner	GE_BrightCorner	15580	pos	GE_BrightCorner		Unknown		Unknown	
3	1	DarkCorner	DarkCorner	15416	pos	DarkCorner		Unknown		Unknown	
4	1	DarkCorner	DarkCorner	15252	pos	DarkCorner		Unknown		Unknown	
5	1	222545032_EZ001222.1_32-199	CUST_42_PI426227498	15088	false		gi|222545032_EZ001222.1_32-199	Unknown		unmapped	
6	1	Ac_29_113_147	CUST_78_PI426266615	14924	false		Ac_29_113_147	Unknown		unmapped	
7	1	222781877_EZ010548.1_323-1383	CUST_50_PI426266271	14760	false		gi|222781877_EZ010548.1_323-1383	Unknown		unmapped	
8	1	222781277_EZ009948.1_106-222	CUST_18_PI426266317	14596	false		gi|222781277_EZ009948.1_106-222	Unknown		unmapped	
9	1	222782861_EZ011532.1_74-319	CUST_186_PI426246026	14432	false		gi|222782861_EZ011532.1_74-319	Unknown		unmapped	
10	1	222781761_EZ010432.1_1069-1458	CUST_2_PI426244593	14268	false		gi|222781761_EZ010432.1_1069-1458	Unknown		unmapped	
11	1	222785318_EZ013952.1_158-640	CUST_908_PI426227498	14104	false		gi|222785318_EZ013952.1_158-640	Unknown		unmapped	
12	1	222784615_EZ013259.1_218-550	CUST_165_PI426226825	13940	false		gi|222784615_EZ013259.1_218-550	Unknown		unmapped	
13	1	222785152_EZ013786.1_1048-1221	CUST_847_PI426227498	13776	false		gi|222785152_EZ013786.1_1048-1221	Unknown		unmapped	
14	1	288950310_GQ501381.1_22-468	CUST_279_PI426232940	13612	false		gi|288950310_GQ501381.1_22-468	Unknown		unmapped	
15	1	NA	NA	13448	ignore	NA		Unknown		Unknown	
16	1	NA	NA	13284	ignore	NA		Unknown		Unknown	
17	1	222545186_EZ001376.1_137-241	CUST_18_PI426227890	13120	false		gi|222545186_EZ001376.1_137-241	Unknown		unmapped	
18	1	222548433_EZ004346.1_108-227	CUST_15_PI426265159	12956	false		gi|222548433_EZ004346.1_108-227	Unknown		unmapped	
19	1	ETG07_105829	ETG07_105829	12792	pos	ETG07_105829		Unknown		Unknown	
20	1	222785331_EZ013965.1_43-938	CUST_313_PI426227486	12628	false		gi|222785331_EZ013965.1_43-938	Unknown		unmapped	
21	1	NA	NA	12464	ignore	NA		Unknown		Unknown	
22	1	222786712_EZ015184.1_8-1142	CUST_354_PI426227486	12300	false		gi|222786712_EZ015184.1_8-1142	Unknown		unmapped	
23	1	222784673_EZ013313.1_32-562	CUST_787_PI426227498	12136	false		gi|222784673_EZ013313.1_32-562	Unknown		unmapped	
24	1	222802262	CUST_38_PI426265162	11972	false		gi|222802262	Unknown		unmapped	
25	1	222798880_EZ027268.1_1152-1319	CUST_15_PI426245463	11808	false		gi|222798880_EZ027268.1_1152-1319	Unknown		unmapped	
26	1	NA	NA	11644	ignore	NA		Unknown		Unknown	
27	1	Ac_5_118_154	CUST_88_PI426266615	11480	false		Ac_5_118_154	Unknown		unmapped	
28	1	222788530_EZ017002.1_108-227	CUST_126_PI426266317	11316	false		gi|222788530_EZ017002.1_108-227	Unknown		unmapped	
29	1	222783088_EZ011757.1_112-852	CUST_629_PI426227498	11152	false		gi|222783088_EZ011757.1_112-852	Unknown		unmapped	
30	1	NA	NA	10988	ignore	NA		Unknown		Unknown	
31	1	222784709_EZ013347.1_11-274	CUST_9_PI426226825	10824	false		gi|222784709_EZ013347.1_11-274	Unknown		unmapped	
32	1	222787783_EZ016255.1_60-1651	CUST_366_PI426227486	10660	false		gi|222787783_EZ016255.1_60-1651	Unknown		unmapped	
33	1	222785746_EZ014228.1_62-880	CUST_43_PI426227495	10496	false		gi|222785746_EZ014228.1_62-880	Unknown		unmapped	
34	1	NA	NA	10332	ignore	NA		Unknown		Unknown	
35	1	U27840_117_151	CUST_387_PI426266615	10168	false		U27840_117_151	Unknown		unmapped	
36	1	222551406_EZ007319.1_25-204	CUST_308_PI426227498	10004	false		gi|222551406_EZ007319.1_25-204	Unknown		unmapped	
37	1	222785578_EZ014090.1_225-659	CUST_321_PI426227486	9840	false		gi|222785578_EZ014090.1_225-659	Unknown		unmapped	
38	1	222783379_EZ012044.1_24-509	CUST_26_PI426266363	9676	false		gi|222783379_EZ012044.1_24-509	Unknown		unmapped	
39	1	222799992_EZ028380.1_35-590	CUST_127_PI426226868	9512	false		gi|222799992_EZ028380.1_35-590	Unknown		unmapped	
40	1	222549613_EZ005526.1_96-233	CUST_33_PI426266274	9348	false		gi|222549613_EZ005526.1_96-233	Unknown		unmapped	
