,Name,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,Column,Row,RefNumber,Name.Append,ID,ControlType,TopHit,Correct.Accession.number,Accession,Probe,blast2go.Seq.Description,NCBI.Accession.name,Gene,Gene.Code,Probe.Group,Modified.Probe.Group,Function,FC,Species.Detail,Species.Group,logFC,AveExpr,t,P.Value,adj.P.Val,B
68,222549086_EZ004999.1_74-229,3.451381452,3.476748777,2.56363937,3.01239148,2.714679749,2.478288385,1.158242268,1.715281155,78,102,2984,222549086_EZ004999.1,CUST_30_PI426264540,FALSE,gi|222549086_EZ004999.1_74-229,EZ004999.1,EZ004999.1,EZ004999,cdp-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase),CDP-diacylglycerol--inositol 3-phosphatidyltransferase (CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (CDIPT,,metal ion binding,responses to extracellular stimuli,signaling,MF,Acropora millepora,coral,-1.727161488,2.57133158,-5.054094089,0.001914355,0.048111386,-0.831334388
137,222785316_EZ013950.1_67-577,2.143684988,1.604964377,1.70379552,1.561787046,0.749752454,1.064987956,0.577907518,0.088068015,87,15,1633,222785316_EZ013950.1,CUST_905_PI426227498,FALSE,gi|222785316_EZ013950.1_67-577,EZ013950.1,EZ013950.1,EZ013950,c-jun-amino-terminal kinase-interacting protein 1-like,C-jun-amino-terminal kinase-interacting protein 1 (MAPK8IP1),C-jun-amino-terminal kinase-interacting protein 1 (MAPK8IP1),,signal transduction,(revisit),signaling,MF,Acropora millepora,coral,-1.484493862,1.186868484,-4.997545017,0.002031088,0.048111386,-0.889982477
327,Ac_11_135_169,3.232128648,3.112346998,2.714679749,2.438208784,2.255582096,1.946997388,0.955790216,1.85311344,89,8,1227,Ac_11_135_169,CUST_28_PI426266615,FALSE,,Ac_11,EZ040771,Ac_11,,Glutathione S-transferase Mu 3 (GSTM3),Glutathione S-transferase Mu 3 (GSTM3),,reactive O2 species metabolism,metabolism of xenobiotics & drugs,response to xenobiotic,SR,Acropora millepora,coral,-1.615266637,2.313605915,-5.237259021,0.001585018,0.042908691,-0.644893037
98,222783095_EZ011764.1_34-798,3.494095711,3.0988171,2.847001782,2.309781456,2.640338307,2.173574071,1.765548411,2.000486404,96,78,44,222783095_EZ011764.1,CUST_11_PI426227887,FALSE,gi|222783095_EZ011764.1_34-798,EZ011764.1,EZ011764.1,EZ011764,arsenite methyltransferase,Arsenite methyltransferase (As3mt),Arsenite methyltransferase (As3mt),,response to toxin,(revisit),response to xenobiotic,SR,Acropora millepora,coral,-1.26362079,2.541205405,-5.442425052,0.001289597,0.041514104,-0.442338716
120,222784033_EZ012691.1_318-422,1.564257569,0.785427732,0.994157693,0.962596189,0.088068015,0.103759375,3.043140208,3.309168736,87,18,1550,222784033_EZ012691.1,CUST_18_PI426266278,FALSE,gi|222784033_EZ012691.1_318-422,EZ012691.1,EZ012691.1,EZ012691,mitochondrial fission 1 protein,Mitochondrial fission 1 protein (Fis1),Mitochondrial fission 1 protein (Fis1),,peroxisomal,lipid binding_peroxisome biogenesis,transport,MF,Acropora millepora,coral,2.061540141,1.35632194,5.959757721,0.000784537,0.041514104,0.040091669
122,222784115_EZ012773.1_1189-1293,0.749752454,0.948115148,0.994157693,0.962596189,1.142385233,0.103759375,2.671557587,3.105582049,55,163,6807,222784115_EZ012773.1,CUST_108_PI426227893,FALSE,gi|222784115_EZ012773.1_1189-1293,EZ012773.1,EZ012773.1,EZ012773,mediator of rna polymerase ii transcription subunit 10,Mediator of RNA polymerase II,Mediator of RNA polymerase II,,transcription regulation,(revisit),transcription,NCF,Acropora millepora,coral,1.991228053,1.334738216,6.162115214,0.000651451,0.041514104,0.218251107
155,222789249_EZ017681.1_298-729,1.762055211,1.87865463,1.171020561,1.24547549,1.762055211,1.064987956,0.088068015,0.088068015,61,36,5805,222789249_EZ017681.1,CUST_1082_PI426227498,FALSE,gi|222789249_EZ017681.1_298-729,EZ017681.1,EZ017681.1,EZ017681,regulator of g-protein signaling 7,Regulator of G-protein signaling 7 (Rgs7),Regulator of G-protein signaling 7 (Rgs7),,signal transduction,(revisit),signaling,MF,Acropora millepora,coral,-1.51584212,1.132548136,-5.388518172,0.001360706,0.041514104,-0.494925359
190,222801892_EZ030280.1_509-2523,0.48029718,0.337188816,0.019000387,1.436791894,0.948115148,1.377070483,1.676267665,2.550774638,78,127,3053,222801892_EZ030280.1,CUST_1446_PI426227498,FALSE,gi|222801892_EZ030280.1_509-2523,EZ030280.1,EZ030280.1,EZ030280,serine threonine-protein phosphatase 2a 65 kda regulatory subunit a alpha isoform,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PPP2R1A,,signal transduction,(revisit),signaling,MF,Acropora millepora,coral,1.834692357,1.103188276,6.103407304,0.000687224,0.041514104,0.167153549
191,222801996_EZ030384.1_31-1032,1.880170102,2.060952773,1.736081263,1.676267665,1.3386931,1.290981616,0.6780456,1.073533873,95,140,177,222801996_EZ030384.1,CUST_183_PI426266274,FALSE,gi|222801996_EZ030384.1_31-1032,EZ030384.1,EZ030384.1,EZ030384,glucose-6-phosphate dehydrogenase,Glucose-6-phosphate 1-dehydrogenase (g6pd),Glucose-6-phosphate 1-dehydrogenase (g6pd),,metabolism-mixed,(revisit),metabolism,MF,Acropora millepora,coral,-1.016611643,1.466840749,-5.343166237,0.001423967,0.041514104,-0.539515005
217,288950266_GQ501337.1_136-375,4.580580703,4.617807258,4.690753263,4.244207297,4.520483542,4.401307668,3.166996527,3.798852119,81,63,2593,288950266_GQ501337.1,CUST_173_PI426232940,FALSE,gi|288950266_GQ501337.1_136-375,GQ501337.1,GQ501337.1,GQ501337,cytochrome oxidase subunit I (cox1),cytochrome oxidase subunit I (cox1),cytochrome oxidase subunit I (cox1); MT-CO1,,cell respiration,ETC,cellular respiration,NCF,Symbiodinium pilosum,zooxanthellae,-1.146789418,4.252623547,-5.774878333,0.000933579,0.041514104,-0.127776164
