TR102218_c3_g3_i1	sp-Q95334-AMPE_PIG	sp-Q95334-AMPE_PIG Glutamyl aminopeptidase OS=Sus scrofa GN=ENPEP PE=1 SV=1
TR102218_c3_g3_i1	sp-Q32LQ0-AMPE_BOVIN	sp-Q32LQ0-AMPE_BOVIN Glutamyl aminopeptidase OS=Bos taurus GN=ENPEP PE=2 SV=1
TR102218_c3_g3_i1	sp-P50123-AMPE_RAT	sp-P50123-AMPE_RAT Glutamyl aminopeptidase OS=Rattus norvegicus GN=Enpep PE=1 SV=2
TR102218_c3_g3_i1	sp-Q07075-AMPE_HUMAN	sp-Q07075-AMPE_HUMAN Glutamyl aminopeptidase OS=Homo sapiens GN=ENPEP PE=1 SV=3
TR102218_c3_g3_i1	sp-P16406-AMPE_MOUSE	sp-P16406-AMPE_MOUSE Glutamyl aminopeptidase OS=Mus musculus GN=Enpep PE=1 SV=1
TR102218_c3_g3_i1	sp-P15145-AMPN_PIG	sp-P15145-AMPN_PIG Aminopeptidase N OS=Sus scrofa GN=ANPEP PE=1 SV=4
TR102218_c3_g3_i1	sp-P97449-AMPN_MOUSE	sp-P97449-AMPN_MOUSE Aminopeptidase N OS=Mus musculus GN=Anpep PE=1 SV=4
TR102218_c3_g3_i1	sp-P15684-AMPN_RAT	sp-P15684-AMPN_RAT Aminopeptidase N OS=Rattus norvegicus GN=Anpep PE=1 SV=2
TR102218_c3_g3_i1	sp-O57579-AMPN_CHICK	sp-O57579-AMPN_CHICK Aminopeptidase Ey OS=Gallus gallus GN=ANPEP PE=1 SV=1
TR102218_c3_g3_i1	sp-P15144-AMPN_HUMAN	sp-P15144-AMPN_HUMAN Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4
TR102246_c3_g1_i1	sp-P9WKB7-Y221_MYCTU	sp-P9WKB7-Y221_MYCTU Putative diacyglycerol O-acyltransferase Rv0221 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=Rv0221 PE=1 SV=1
TR102246_c3_g1_i1	sp-P9WKB6-Y221_MYCTO	sp-P9WKB6-Y221_MYCTO Putative diacyglycerol O-acyltransferase MT0231 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=MT0231 PE=3 SV=1
TR102246_c3_g1_i1	sp-P9WKB9-Y1760_MYCTU	sp-P9WKB9-Y1760_MYCTU Putative diacyglycerol O-acyltransferase Rv1760 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=Rv1760 PE=1 SV=1
TR102246_c3_g1_i1	sp-P9WKB8-Y1760_MYCTO	sp-P9WKB8-Y1760_MYCTO Putative diacyglycerol O-acyltransferase MT1809 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=MT1809 PE=3 SV=1
TR102246_c3_g1_i1	sp-P0A651-Y3154_MYCBO	sp-P0A651-Y3154_MYCBO Putative diacyglycerol O-acyltransferase Mb3154c OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=Mb3154c PE=3 SV=1
TR102246_c3_g1_i1	sp-P9WKC9-TGS1_MYCTU	sp-P9WKC9-TGS1_MYCTU Probable diacyglycerol O-acyltransferase tgs1 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=tgs1 PE=1 SV=1
TR102246_c3_g1_i1	sp-P9WKC8-TGS1_MYCTO	sp-P9WKC8-TGS1_MYCTO Probable diacyglycerol O-acyltransferase tgs1 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=tgs1 PE=2 SV=1
TR102246_c3_g1_i1	sp-P9WKB1-Y3087_MYCTU	sp-P9WKB1-Y3087_MYCTU Putative diacyglycerol O-acyltransferase Rv3087 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=Rv3087 PE=1 SV=1
TR102246_c3_g1_i1	sp-P9WKB0-Y3087_MYCTO	sp-P9WKB0-Y3087_MYCTO Putative diacyglycerol O-acyltransferase MT3172 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=MT3172 PE=3 SV=1
TR102246_c3_g1_i1	sp-P9WKC1-Y1425_MYCTU	sp-P9WKC1-Y1425_MYCTU Putative diacyglycerol O-acyltransferase Rv1425 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=Rv1425 PE=1 SV=1
TR102531_c1_g1_i13	sp-A8WHP9-LRRC3_DANRE	sp-A8WHP9-LRRC3_DANRE Leucine-rich repeat-containing protein 3 OS=Danio rerio GN=lrrc3 PE=2 SV=1
TR102531_c1_g1_i13	sp-O75093-SLIT1_HUMAN	sp-O75093-SLIT1_HUMAN Slit homolog 1 protein OS=Homo sapiens GN=SLIT1 PE=2 SV=4
TR102531_c1_g1_i13	sp-O75093-SLIT1_HUMAN	sp-O75093-SLIT1_HUMAN Slit homolog 1 protein OS=Homo sapiens GN=SLIT1 PE=2 SV=4
TR102531_c1_g1_i13	sp-Q80TR4-SLIT1_MOUSE	sp-Q80TR4-SLIT1_MOUSE Slit homolog 1 protein OS=Mus musculus GN=Slit1 PE=1 SV=2
