Column	Row	Name	ID	RefNumber	ControlType	GeneName	TopHit	Description	Go	ChromosomalLocation	EntrezGeneID
1	1	GE_BrightCorner	GE_BrightCorner	1	pos	GE_BrightCorner		Unknown		Unknown	
2	1	DarkCorner	DarkCorner	2	pos	DarkCorner		Unknown		Unknown	
3	1	DarkCorner	DarkCorner	3	pos	DarkCorner		Unknown		Unknown	
4	1	222803147_EZ031535.1_16-465	CUST_156_PI426226915	4	false		gi|222803147_EZ031535.1_16-465	Unknown		unmapped	
5	1	222546129_EZ002319.1_1845-2030	CUST_12_PI426244589	5	false		gi|222546129_EZ002319.1_1845-2030	Unknown		unmapped	
6	1	222801996_EZ030384.1_31-2558	CUST_207_PI426265159	6	false		gi|222801996_EZ030384.1_31-2558	Unknown		unmapped	
7	1	222783366_EZ012031.1_122-505	CUST_22_PI426266363	7	false		gi|222783366_EZ012031.1_122-505	Unknown		unmapped	
8	1	MGID_9_103_137	CUST_351_PI426266615	8	false		MGID_9_103_137	Unknown		unmapped	
9	1	NA	NA	9	ignore	NA		Unknown		Unknown	
10	1	222780698_EZ009369.1_54-548	CUST_84_PI426226825	10	false		gi|222780698_EZ009369.1_54-548	Unknown		unmapped	
11	1	NA	NA	11	ignore	NA		Unknown		Unknown	
12	1	222802720_EZ031108.1_310-486	CUST_1456_PI426227498	12	false		gi|222802720_EZ031108.1_310-486	Unknown		unmapped	
13	1	NA	NA	13	ignore	NA		Unknown		Unknown	
14	1	222791541_EZ019929.1_402-578	CUST_1150_PI426227498	14	false		gi|222791541_EZ019929.1_402-578	Unknown		unmapped	
15	1	222795387_EZ023775.1_146-1348	CUST_77_PI426227495	15	false		gi|222795387_EZ023775.1_146-1348	Unknown		unmapped	
16	1	222792000_EZ020388.1_166-462	CUST_19_PI426264527	16	false		gi|222792000_EZ020388.1_166-462	Unknown		unmapped	
17	1	222799487_EZ027875.1_845-1048	CUST_51_PI426266360	17	false		gi|222799487_EZ027875.1_845-1048	Unknown		unmapped	
18	1	222794837_EZ023225.1_315-1727	CUST_117_PI426266424	18	false		gi|222794837_EZ023225.1_315-1727	Unknown		unmapped	
19	1	NA	NA	19	ignore	NA		Unknown		Unknown	
20	1	154814309_EU035527.1_1-678	CUST_14_PI426244603	20	false		gi|154814309_EU035527.1_1-678	Unknown		unmapped	
21	1	2677833_AF020781.1_156-668	CUST_4_PI426266433	21	false		gi|2677833_AF020781.1_156-668	Unknown		unmapped	
22	1	NA	NA	22	ignore	NA		Unknown		Unknown	
23	1	222785069_EZ013703.1_38-496	CUST_839_PI426227498	23	false		gi|222785069_EZ013703.1_38-496	Unknown		unmapped	
24	1	222784835_EZ013469.1_168-992	CUST_30_PI426266366	24	false		gi|222784835_EZ013469.1_168-992	Unknown		unmapped	
25	1	NA	NA	25	ignore	NA		Unknown		Unknown	
26	1	222551517_EZ007430.1_55-258	CUST_1_PI426246029	26	false		gi|222551517_EZ007430.1_55-258	Unknown		unmapped	
27	1	222780092_EZ008763.1_410-517	CUST_386_PI426227498	27	false		gi|222780092_EZ008763.1_410-517	Unknown		unmapped	
28	1	222782249_EZ010920.1_66-410	CUST_24_PI426226825	28	false		gi|222782249_EZ010920.1_66-410	Unknown		unmapped	
29	1	222796352_EZ024740.1_15-701	CUST_79_PI426227495	29	false		gi|222796352_EZ024740.1_15-701	Unknown		unmapped	
30	1	266634783_FJ807389.1_55-3079	CUST_5_PI426266572	30	false		gi|266634783_FJ807389.1_55-3079	Unknown		unmapped	
31	1	Ac_4_145_179	CUST_86_PI426266615	31	false		Ac_4_145_179	Unknown		unmapped	
32	1	222802277_EZ030665.1_53-298	CUST_43_PI426264530	32	false		gi|222802277_EZ030665.1_53-298	Unknown		unmapped	
33	1	CN774282_153_187	CUST_172_PI426266615	33	false		CN774282_153_187	Unknown		unmapped	
34	1	22087286_AF500014.1_33-572	CUST_24_PI426232940	34	false		gi|22087286_AF500014.1_33-572	Unknown		unmapped	
35	1	288950319_GQ501390.1_13-483	CUST_305_PI426232940	35	false		gi|288950319_GQ501390.1_13-483	Unknown		unmapped	
36	1	NA	NA	36	ignore	NA		Unknown		Unknown	
37	1	222782846_EZ011517.1_118-641	CUST_187_PI426227486	37	false		gi|222782846_EZ011517.1_118-641	Unknown		unmapped	
38	1	15081471_AF401282.1_84-767	CUST_44_PI426244603	38	false		gi|15081471_AF401282.1_84-767	Unknown		unmapped	
39	1	197091189_EU924267.1_1-1167	CUST_22_PI426232931	39	false		gi|197091189_EU924267.1_1-1167	Unknown		unmapped	
40	1	288950317_GQ501388.1_10-447	CUST_299_PI426232940	40	false		gi|288950317_GQ501388.1_10-447	Unknown		unmapped	
41	1	222784675_EZ013315.1_474-761	CUST_123_PI426227893	41	false		gi|222784675_EZ013315.1_474-761	Unknown		unmapped	
42	1	222545703_EZ001893.1_498-632	CUST_104_PI426227498	42	false		gi|222545703_EZ001893.1_498-632	Unknown		unmapped	
43	1	NA	NA	43	ignore	NA		Unknown		Unknown	
44	1	222783095_EZ011764.1_34-798	CUST_11_PI426227887	44	false		gi|222783095_EZ011764.1_34-798	Unknown		unmapped	
45	1	222544900_EZ001090.1_458-571	CUST_3_PI426227887	45	false		gi|222544900_EZ001090.1_458-571	Unknown		unmapped	
46	1	222781411_EZ010082.1_8-761	CUST_51_PI426266317	46	false		gi|222781411_EZ010082.1_8-761	Unknown		unmapped	
47	1	222550715_EZ006628.1_40-237	CUST_30_PI426244589	47	false		gi|222550715_EZ006628.1_40-237	Unknown		unmapped	
48	1	222786977_EZ015449.1_67-842	CUST_182_PI426264540	48	false		gi|222786977_EZ015449.1_67-842	Unknown		unmapped	
49	1	222798016_EZ026404.1_34-741	CUST_50_PI426246032	49	false		gi|222798016_EZ026404.1_34-741	Unknown		unmapped	
50	1	222785609_EZ014121.1_933-1421	CUST_36_PI426226825	50	false		gi|222785609_EZ014121.1_933-1421	Unknown		unmapped	
51	1	AY500892_1204_1238	CUST_152_PI426266615	51	false		AY500892_1204_1238	Unknown		unmapped	
52	1	288950263_GQ501334.1_22-495	CUST_164_PI426232940	52	false		gi|288950263_GQ501334.1_22-495	Unknown		unmapped	
53	1	168989224_DQ482985.1_1-1181	CUST_1_PI426266430	53	false		gi|168989224_DQ482985.1_1-1181	Unknown		unmapped	
54	1	222784398_EZ013056.1_103-1263	CUST_105_PI426245467	54	false		gi|222784398_EZ013056.1_103-1263	Unknown		unmapped	
55	1	NA	NA	55	ignore	NA		Unknown		Unknown	
56	1	222795924_EZ024312.1_398-1051	CUST_6_PI426226214	56	false		gi|222795924_EZ024312.1_398-1051	Unknown		unmapped	
57	1	222791339_EZ019727.1_132-1274	CUST_1139_PI426227498	57	false		gi|222791339_EZ019727.1_132-1274	Unknown		unmapped	
