ProbeID	TargetID	GeneSymbol	GeneName	Accessions	Description
CUST_18_PI426232937	AF298221.1			gb|AF298221.1|gi|11545460	Unknown
CUST_17_PI426232937	AF298221.1			gb|AF298221.1|gi|11545460	Unknown
CUST_16_PI426232937	AF298221.1			gb|AF298221.1|gi|11545460	Unknown
CUST_21_PI426232937	AF299359.1			gb|AF299359.1|gi|11527926	Unknown
CUST_24_PI426232937	AF425735.1			gb|AF425735.1|gi|16326736	Unknown
CUST_27_PI426232937	AF425735.1			gb|AF425735.1|gi|16326736	Unknown
CUST_69_PI426232937	AY149122.1			gb|AY149122.1|gi|23986338	Unknown
CUST_78_PI426232937	AY149122.1			gb|AY149122.1|gi|23986338	Unknown
CUST_72_PI426232937	AY149122.1			gb|AY149122.1|gi|23986338	Unknown
CUST_75_PI426232937	AY149122.1			gb|AY149122.1|gi|23986338	Unknown
CUST_84_PI426232937	AY149123.1			gb|AY149123.1|gi|23986346	Unknown
CUST_81_PI426232937	AY149123.1			gb|AY149123.1|gi|23986346	Unknown
CUST_83_PI426232937	AY149123.1			gb|AY149123.1|gi|23986346	Unknown
CUST_82_PI426232937	AY149123.1			gb|AY149123.1|gi|23986346	Unknown
CUST_87_PI426232937	AY149125.1			gb|AY149125.1|gi|23986356	Unknown
CUST_90_PI426232937	AY149125.1			gb|AY149125.1|gi|23986356	Unknown
CUST_95_PI426232937	AY149127.1			gb|AY149127.1|gi|23986362	Unknown
CUST_94_PI426232937	AY149127.1			gb|AY149127.1|gi|23986362	Unknown
CUST_93_PI426232937	AY149127.1			gb|AY149127.1|gi|23986362	Unknown
CUST_99_PI426232937	AY149128.1			gb|AY149128.1|gi|23986368	Unknown
CUST_102_PI426232937	AY149128.1			gb|AY149128.1|gi|23986368	Unknown
CUST_100_PI426232937	AY149128.1			gb|AY149128.1|gi|23986368	Unknown
CUST_101_PI426232937	AY149128.1			gb|AY149128.1|gi|23986368	Unknown
CUST_108_PI426232937	AY149129.1			gb|AY149129.1|gi|23986377	Unknown
CUST_105_PI426232937	AY149129.1			gb|AY149129.1|gi|23986377	Unknown
CUST_114_PI426232937	AY149130.1			gb|AY149130.1|gi|23986383	Unknown
CUST_111_PI426232937	AY149130.1			gb|AY149130.1|gi|23986383	Unknown
CUST_117_PI426232937	AY149131.1			gb|AY149131.1|gi|23986391	Unknown
CUST_120_PI426232937	AY149132.1			gb|AY149132.1|gi|23986400	Unknown
CUST_123_PI426232937	AY149132.1			gb|AY149132.1|gi|23986400	Unknown
CUST_126_PI426232937	AY149134.1			gb|AY149134.1|gi|23986408	Unknown
CUST_129_PI426232937	AY149137.1			gb|AY149137.1|gi|23986421	Unknown
CUST_132_PI426232937	AY149139.1			gb|AY149139.1|gi|23986433	Unknown
CUST_134_PI426232937	AY149142.1			gb|AY149142.1|gi|23986452	Unknown
CUST_133_PI426232937	AY149142.1			gb|AY149142.1|gi|23986452	Unknown
CUST_135_PI426232937	AY149142.1			gb|AY149142.1|gi|23986452	Unknown
CUST_138_PI426232937	AY149143.1			gb|AY149143.1|gi|23986461	Unknown
CUST_137_PI426232937	AY149143.1			gb|AY149143.1|gi|23986461	Unknown
CUST_139_PI426232937	AY149144.1			gb|AY149144.1|gi|23986467	Unknown
CUST_141_PI426232937	AY149144.1			gb|AY149144.1|gi|23986467	Unknown
CUST_140_PI426232937	AY149144.1			gb|AY149144.1|gi|23986467	Unknown
CUST_143_PI426232937	AY149146.1			gb|AY149146.1|gi|23986480	Unknown
CUST_142_PI426232937	AY149146.1			gb|AY149146.1|gi|23986480	Unknown
CUST_144_PI426232937	AY149146.1			gb|AY149146.1|gi|23986480	Unknown
CUST_146_PI426232937	AY149147.1			gb|AY149147.1|gi|23986489	Unknown
CUST_145_PI426232937	AY149147.1			gb|AY149147.1|gi|23986489	Unknown
CUST_150_PI426232937	AY149148.1			gb|AY149148.1|gi|23986496	Unknown
CUST_156_PI426232937	AY149149.1			gb|AY149149.1|gi|23986499	Unknown
CUST_153_PI426232937	AY149149.1			gb|AY149149.1|gi|23986499	Unknown
CUST_159_PI426232937	AY149152.1			gb|AY149152.1|gi|23986513	Unknown
CUST_162_PI426232937	AY149159.1			gb|AY149159.1|gi|23986557	Unknown
CUST_165_PI426232937	AY149161.1			gb|AY149161.1|gi|23986565	Unknown
CUST_168_PI426232937	AY149162.1			gb|AY149162.1|gi|23986573	Unknown
CUST_174_PI426232937	AY149163.1			gb|AY149163.1|gi|23986583	Unknown
CUST_171_PI426232937	AY149163.1			gb|AY149163.1|gi|23986583	Unknown
CUST_180_PI426232937	AY149164.1			gb|AY149164.1|gi|23986590	Unknown
CUST_177_PI426232937	AY149164.1			gb|AY149164.1|gi|23986590	Unknown
CUST_186_PI426232937	AY149166.1			gb|AY149166.1|gi|23986607	Unknown
CUST_191_PI426232937	AY149168.1			gb|AY149168.1|gi|23986616	Unknown
CUST_195_PI426232937	AY149171.1			gb|AY149171.1|gi|23986640	Unknown
CUST_198_PI426232937	AY149172.1			gb|AY149172.1|gi|23986648	Unknown
CUST_200_PI426232937	AY160084.1			gb|AY160084.1|gi|37719555	Unknown
CUST_199_PI426232937	AY160084.1			gb|AY160084.1|gi|37719555	Unknown
CUST_201_PI426232937	AY160084.1			gb|AY160084.1|gi|37719555	Unknown
CUST_204_PI426232937	AY160085.1			gb|AY160085.1|gi|37719557	Unknown
CUST_207_PI426232937	AY160085.1			gb|AY160085.1|gi|37719557	Unknown
CUST_210_PI426232937	AY160086.1			gb|AY160086.1|gi|37719559	Unknown
CUST_216_PI426232937	AY160087.1			gb|AY160087.1|gi|37719560	Unknown
CUST_219_PI426232937	AY160087.1			gb|AY160087.1|gi|37719560	Unknown
CUST_213_PI426232937	AY160087.1			gb|AY160087.1|gi|37719560	Unknown
CUST_222_PI426232937	AY160087.1			gb|AY160087.1|gi|37719560	Unknown
CUST_225_PI426232937	AY160088.1			gb|AY160088.1|gi|37719561	Unknown
CUST_228_PI426232937	AY160089.1			gb|AY160089.1|gi|37719562	Unknown
CUST_231_PI426232937	AY996049.1			gb|AY996049.1|gi|66731528	Unknown
CUST_233_PI426232937	AY996050.1			gb|AY996050.1|gi|66731530	Unknown
CUST_232_PI426232937	AY996050.1			gb|AY996050.1|gi|66731530	Unknown
CUST_234_PI426232937	AY996050.1			gb|AY996050.1|gi|66731530	Unknown
CUST_237_PI426232937	DQ174705.1			gb|DQ174705.1|gi|86562520	Unknown
CUST_235_PI426232937	DQ174705.1			gb|DQ174705.1|gi|86562520	Unknown
CUST_240_PI426232937	DQ174708.1			gb|DQ174708.1|gi|86562526	Unknown
CUST_238_PI426232937	DQ174708.1			gb|DQ174708.1|gi|86562526	Unknown
CUST_243_PI426232937	DQ174709.1			gb|DQ174709.1|gi|86562528	Unknown
CUST_241_PI426232937	DQ174709.1			gb|DQ174709.1|gi|86562528	Unknown
CUST_12_PI426227955	DQ174766.1			gb|DQ174766.1|gi|86562729	Unknown
CUST_255_PI426232937	DQ482993.1			gb|DQ482993.1|gi|168989232	Unknown
CUST_252_PI426232937	DQ482993.1			gb|DQ482993.1|gi|168989232	Unknown
